ADB Sovereign Projects 2005 onwards as of 9 January 2025,,,,,,,,,,,,,,,,,
Note: Projects with Active status are approved projects that have met the conditions for effectiveness for at least one of its sources of financing and is ready for or already undergoing implementation. Information about proposed projects is tentative and indicative.,,,,,,,,,,,,,,,,,
See http://www.adb.org/projects/terms-use for more on using ADB project data.,,,,,,,,,,,,,,,,,
Project Number,Project Name,Country,Financing,Project Type or Modality,Status,Approval Number,Approval Date,ADB Financing (US$),Geographical Location,Sector,Subsector,Safeguard - Environment,Safeguard - Indigenous People,Safeguard - Resettlement,Department,Executing Agency,Project Officer
43237-013,Urban Environment and Climate Change Adaptation Project,Viet Nam,Sovereign,Grant | Loan,Active,0462 | 3340,27/11/2015,"100,000,000.00","Dong Hoi, Hoi An",Water and other urban infrastructure and services,"Other urban services | Urban policy, institutional and capacity development | Urban sewerage | Urban water supply",B,C,A,Sectors Group,Provincial People's Committee of Quang Binh Province,"Do, Hoang Nhat"
43251-025,Metropolitan Sanitation Management Investment Project,Indonesia,Sovereign,Grant | Loan,Active,3123 | 8280,31/03/2014,"80,000,000.00",,Health | Water and other urban infrastructure and services,Disease control  of communicable disease | Urban sewerage,B,C,B,Sectors Group,"Directorate General of Human Settlements, Ministry of Public Works and Housing","Carolina, Anastasia"
43253-013,Karnataka Integrated and Sustainable Water Resources Management Investment Program,India,Sovereign,Loan,Active,0085,25/09/2014,"150,000,000.00",,"Agriculture, natural resources and rural development",,,,,Sectors Group,,"Michels, Alexia"
43253-024,Karnataka Integrated Urban Water Management Investment Program,India,Sovereign,Grant | Loan,Active,0080,28/03/2014,"150,000,000.00",,Water and other urban infrastructure and services,,,,,South Asia Department,,"Majumder, Sourav"
43253-026,Karnataka Integrated and Sustainable Water Resources Management Investment Program - Tranche 2,India,Sovereign,Loan,Active,3836,04/10/2019,"91,000,000.00",Karnataka,"Agriculture, natural resources and rural development","Irrigation | Rural water policy, institutional and capacity development | Water-based natural resources management",A,C,C,Sectors Group,Advanced Centre for Integrated Water Resources Management,"Michels, Alexia"
43281-013,Tanahu Hydropower Project,Nepal,Sovereign,Grant | Loan | Technical Assistance,Active,2990 | 2991 | 8329,21/02/2013,"150,000,000.00","Nation-wide, Bharatpur, Central Region, Damauli, Dharampani, Lumbini Zone, Majhkot, Mid Western, Narayani Zone, Rapti Zone, Tanahun, Western Region",Energy,Electricity transmission and distribution | Large hydropower generation,A,A,A,Sectors Group,Ministry of Energy,"Acharya, Jiwan S."
43309-015,Provincial Roads Improvement Projectâ€“Additional Financing,Cambodia,Sovereign,Loan,Active,3442,18/10/2016,"6,000,000.00","Kampong Chhnang, Kampong Speu, Prey Veng, Svay Rieng",Transport,Road transport (non-urban),C,C,C,Southeast Asia Department,Ministry of Public Works and Transport,"Hakim, Januar"
43405-013,MFF - Urban Services Improvement Investment Program - Facility Concept,Georgia,Sovereign,Loan,Active,0055,30/03/2011,"500,000,000.00",,Water and other urban infrastructure and services,Water Supply and Sanitation,,,,Central and West Asia Department,,"Tskhvitava, Avtandil"
43405-025,Urban Services Improvement Investment Program - Tranche 3,Georgia,Sovereign,Loan,Active,3078,05/12/2013,"98,000,000.00","Nation-wide, Kutaisi, Ureki",Water and other urban infrastructure and services,Urban sanitation | Urban water supply,B,C,B,Sectors Group,Ministry of Regional Development and Infrastructure of Georgia,"Tskhvitava, Avtandil"
43405-026,Urban Services Improvement Investment Program-Tranche 4,Georgia,Sovereign,Loan,Active,3238,11/12/2014,"108,000,000.00",,Water and other urban infrastructure and services,Urban sanitation | Urban water supply,B,C,B,Sectors Group,Ministry of Regional Development and Infrastructure of Georgia,"Tskhvitava, Avtandil"
43405-027,Urban Services Improvement Investment Program - Tranche 5,Georgia,Sovereign,Loan,Active,3291 | 3292,29/09/2015,"75,000,000.00",Zugdidi,Water and other urban infrastructure and services,Urban sanitation,B,C,C,Sectors Group,Ministry of Regional Development and Infrastructure of Georgia,"Tskhvitava, Avtandil"
43405-028,Urban Services Improvement Investment Program -Tranche 6,Georgia,Sovereign,Loan,Active,3441,04/10/2016,"99,000,000.00","Bolnisi, Chiatura, Marneuli",Water and other urban infrastructure and services,Urban sanitation | Urban water supply,B,C,B,Sectors Group,Ministry of Regional Development and Infrastructure of Georgia,"Tskhvitava, Avtandil"
43407-016,"Strengthening Social Protection, Education, and Health Reforms Facility",Philippines,Sovereign,Technical Assistance,Active,9079,09/02/2016,"4,310,000.00",Nation-wide,Education | Health | Public sector management,Education sector development - social protection initiatives | Technical and vocational education and training | Health insurance and subsidized health programs | Social protection initiatives,,,,Sectors Group,Asian Development Bank,"Jilani, Amir H."
43448-013,Bagmati River Basin Improvement Project,Nepal,Sovereign,Grant | Loan | Technical Assistance,Active,0367 | 3057 | 3816 | 8500 | 9803,31/10/2013,"94,100,000.00","Bagmati River, Bagmati Zone, Bishnumati Khola, Kathmandu Valley, Kathmandu Valley, Nagmati Khola, Shivapuri, Sundarijal","Agriculture, natural resources and rural development",Rural flood protection | Water-based natural resources management,A,C,C,Sectors Group,Ministry of Urban Development,"Rana, Arun S."
43524-014,Kathmandu Valley Wastewater Management Project,Nepal,Sovereign,Grant | Loan,Active,3000 | 8269,26/04/2013,"80,000,000.00","Bhaktapur, Dhobighat, Gokarna, Guhyeshwari, Kathmandu, Kathmandu Valley, Kathmandu Valley, Kirtipur, Kodku, Lalitpur, Sallaghari, Thimi",Water and other urban infrastructure and services,"Urban policy, institutional and capacity development | Urban sewerage",B,C,B,Sectors Group,Ministry of Urban Development,"Paudel, Shiva Prasad"
44022-023,Guangxi Baise Integrated Urban Environment Improvement Project,"China, People's Republic of",Sovereign,Loan,Active,3035,30/09/2013,"80,000,000.00",Baise City,Transport | Water and other urban infrastructure and services,"Urban roads and traffic management | Other urban services | Urban flood protection | Urban policy, institutional and capacity development",B,B,A,Sectors Group,Baise Municipal Government,"Wu, Aihua"
44122-013,Knowledge and Support in Sovereign Asset and Liability Management,Regional,Sovereign,Technical Assistance,Active,9863,15/11/2019,"750,000.00",Regional,Finance,Finance sector development,,,,Treasury Department,Asian Development Bank,"Taneja, Deepak"
44138-022,Greater Mekong Subregion East-West Economic Corridor Agriculture Infrastructure Sector Project,Lao People's Democratic Republic,Sovereign,Loan,Active,3024,20/09/2013,"60,000,000.00","Khoueng Savannakhet, Salavan","Agriculture, natural resources and rural development",Agricultural production | Irrigation,B,B,B,Sectors Group,Ministry of Agriculture and Forestry-Irrigation Dep,"Choulatida, Phetsoulaphonh"
44167-013,Flood and Riverbank Erosion Risk Management Investment Program,Bangladesh,Sovereign,Grant | Loan,Active,0082,26/06/2014,"255,000,000.00",,"Agriculture, natural resources and rural development",,,,,Sectors Group,,"Drieu, Olivier"
44167-015,Flood and Riverbank Erosion Risk Management Investment Program - Tranche 2,Bangladesh,Sovereign,Grant | Loan,Active,0799 | 4107,06/09/2021,"157,000,000.00","Chauhali, Enayetpur, Harirampur","Agriculture, natural resources and rural development","Rural flood protection | Rural water policy, institutional and capacity development",A,C,A,Sectors Group,Bangladesh Water Development Board,"Drieu, Olivier"
44212-013,Coastal Towns Environmental Infrastructure  Project,Bangladesh,Sovereign,Grant | Loan,Active,0394 | 0395 | 0524 | 3133 | 6001 | 8284,06/08/2012,"55,500,000.00",,Transport | Water and other urban infrastructure and services,"Urban roads and traffic management | Other urban services | Urban flood protection | Urban policy, institutional and capacity development | Urban sanitation | Urban solid waste management | Urban water supply",B,C,B,South Asia Department,Department of Public Health Engineering,"Mamun, S A Abdullah Al"
44213-015,MFF - Secondary Education Sector Investment Program (Facility Concept),Bangladesh,Sovereign,Grant | Loan,Active,0074,27/09/2013,"500,000,000.00",,Education,Upper Secondary Education,,,,Sectors Group,,"Maruyama, Asako"
44219-014,South Asia Subregional Economic Cooperation Power System Expansion Project,Nepal,Sovereign,Grant | Loan | Technical Assistance,Active,0397 | 0398 | 0520 | 3139 | 3721 | 8678,04/07/2014,"200,500,000.00",,Energy,Electricity transmission and distribution | Renewable energy generation - small hydro | Renewable energy generation - solar | Renewable energy generation - wind,B,B,A,Sectors Group,Alternative Energy Promotion Center (AEPC),"Shah, Grishma"
44239-013,Air Transport Connectivity Enhancement Project,Bhutan,Sovereign,Grant,Active,0295 | 0484,21/06/2012,"10,920,000.00","Bathpalathang Airport, Gelephu Airport, Yongphulla Airport",Transport,Air transport,B,C,C,Sectors Group,Ministry of Information and Communications,"Vico Talledo, Rocio"
44321-013,Climate Resilient Rice Commercialization Sector Development Program,Cambodia,Sovereign,Grant | Loan,Active,0349 | 0350 | 0818 | 3006 | 3007 | 8271,27/06/2013,"55,000,000.00","Nation-wide, Battambang, Kampong Thom, Moung Ruessei, Phumi Anlong Reach, Phumi Bat Trang, Phumi Chhuk Khsach, Phumi Kampaeuy, Phumi Roessei Sanh, Prey Veng, Srok Barayn, Srok Bavil, Srok Kampong Svay, Srok Preah Sdech, Srok Rukh Kiri, Srok Santuk, Srok Sithor Kandal, Srok Stoung, Srok Svay Antor, Srok Thma Koul, Stueng Saen","Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agricultural production | Irrigation",B,C,B,Sectors Group,Ministry of Economy and Finance,"Hem, Chanthou"
44350-013,Transport Project Preparatory Facility,Sri Lanka,Sovereign,Loan,Active,3425,22/09/2016,"24,420,000.00",Nation-wide,Transport,Rail transport (non-urban) | Road transport (non-urban) | Water transport (non-urban),C,C,C,Sectors Group,Ministry of Highways,"Sinclair, Nirojan Donald"
44439-013,Sikkim Power Sector Development Project,India,Sovereign,Loan,Active,4447,15/05/2024,"148,500,000.00",Sikkim,Energy,Electricity transmission and distribution | Energy sector development and institutional reform,B,B,B,Sectors Group,Power Department of Sikkim,"Kolantharaj, Jaimes"
44458-013,Amu Bukhara Irrigation System Rehabilitation Project,Uzbekistan,Sovereign,Loan,Active,3025 | 3026,25/09/2013,"220,000,000.00","Bukhara, Bukhara District, Kogon Tumani, Qiziltepa, Qiziltepa Tumani, Sheykhan","Agriculture, natural resources and rural development","Irrigation | Rural water policy, institutional and capacity development",B,C,C,Sectors Group,Ministry of Water Resources,"Rozikhodjaev, Bokhodir"
44482-012,MFF - Transport Network Development Investment Program,Afghanistan,Sovereign,Grant,Active,0063,20/09/2011,"667,000,000.00",,Transport,Road transport (non-urban),,,,Sectors Group,,ADB Disclosure
44482-023,Transport Network Development Investment Program - Tranche 2,Afghanistan,Sovereign,Grant,Active,0327 | 0328,10/12/2012,"149,000,000.00","Angoor Adda, Bermal, Chah Anjir, Gereshk, Helmand, Hisarak, Islamic Republic of Afghanistan, Jalalabad, Jalalabad, Khugyani, Nad `Ali, Nahr-e Saraj, Nangarhar, Sar Rowzah, Sarobi, Sharan, Sharan, Sherzad, Surkh Rod, Urgun, Wilayat-e Paktika",Transport,Road transport (non-urban),B,C,A,Sectors Group,,ADB Disclosure
44482-024,Transport Network Development Investment Program - Tranche 3,Afghanistan,Sovereign,Grant,Active,0355,11/09/2013,"220,000,000.00","Ahangaran, Baghalak, Bazar-e Yakawlang, Chaghcharan, Chaghcharan, Chahar Deh, Dara-I-Suf, Darah-ye Daymirdad, Deh-e Tarchi, Gardan Dewal, Gird Bayd, Hasani, Hisa-I-Awal Bihsud, Islamic Republic of Afghanistan, Kabul, Kotah, La`l wa Sar Jangal, Marghistan, Markazi Bihsud, Panjab, Qal`ah, Qal`ah Now, Rashak, Sadmardah, Safed Khak, Sar-e Bum, Surkh Joy, Yakawlang, Zayraki",Transport,Road transport (non-urban),B,C,A,Sectors Group,,ADB Disclosure
44482-025,Transport Network Development Investment Program - Tranche 4,Afghanistan,Sovereign,Grant,Active,0422 | 0423,15/12/2014,"109,000,000.00",,Transport,Road transport (non-urban),B,C,A,Sectors Group,,ADB Disclosure
45007-003,Ulaanbaatar Urban Services and Ger Areas Development Investment Program,Mongolia,Sovereign,Grant | Loan,Active,0078,12/12/2013,"160,000,000.00",,Water and other urban infrastructure and services,,,,,Sectors Group,,"Badarch, Tuul"
45007-004,Ulaanbaatar Urban Services and Ger Areas Development Investment Program - Tranche 1,Mongolia,Sovereign,Grant | Loan,Active,0380 | 3098 | 3099,17/12/2013,"50,000,000.00","Bayankhoshuuny, Ulaanbaatar Hot",Energy | Transport | Water and other urban infrastructure and services,"Energy utility services | Urban roads and traffic management | Urban policy, institutional and capacity development | Urban slum development",B,C,A,Sectors Group,Ulaanbaatar Municipal Government,"Mamatkulov, Raushanbek"
45007-005,Ulaanbaatar Urban Services and Ger Areas Development Investment Program - Tranche 2,Mongolia,Sovereign,Loan,Active,3525 | 3526,31/03/2017,"66,350,000.00",Ulan Bator,Energy | Transport | Water and other urban infrastructure and services,"Energy utility services | Urban roads and traffic management | Urban policy, institutional and capacity development | Urban slum development | Urban water supply",B,C,A,Sectors Group,Ulaanbaatar Municipal Government,"Badarch, Tuul"
45007-009,Ulaanbaatar Urban Services and Ger Areas Development Investment Program - Tranche 3,Mongolia,Sovereign,Loan,Active,3946 | 3947,26/06/2020,"43,650,000.00",Ulaanbaatar,Education | Transport | Water and other urban infrastructure and services,"Education sector development | Urban roads and traffic management | Urban policy, institutional and capacity development | Urban slum development",B,C,A,Sectors Group,Ulaanbaatar Municipal Government,"Badarch, Tuul"
45007-011,Capacity Building for Sustainable Livelihood Support in Ger Areas,Mongolia,Sovereign,Technical Assistance,Active,9749,20/06/2019,"713,000.00",Ulan Bator,Information and communication technology | Water and other urban infrastructure and services,"ICT strategy and policy, and capacity development | Urban policy, institutional and capacity development | Urban slum development",,,,Office of Safeguards,Ulaanbaatar Municipal Government,"Cleto, Maria Lorena C."
45041-002,Vientiane Sustainable Urban Transport Project,Lao People's Democratic Republic,Sovereign,Grant | Loan,Active,0471 | 3250 | 8303,10/03/2015,"35,000,000.00",Vientiane,Transport,Urban public transport,B,C,B,Sectors Group,Ministry of Public Works and Transport,"Inthavong, Vanthong"
45089-003,Secondary Education Support Program,Philippines,Sovereign,Technical Assistance,Active,9071,28/01/2016,"3,782,000.00",Nation-wide,Education,Secondary,,,,Sectors Group,Department of Education,"Yamakawa, Yumiko"
45089-004,Secondary Education Support Program,Philippines,Sovereign,Loan,Active,3790,23/05/2019,"300,000,000.00",Nation-wide,Education,Secondary,C,C,C,Sectors Group,Department of Education,"Yamakawa, Yumiko"
45094-001,Road Network Upgrading Project,Timor-Leste,Sovereign,Grant | Loan,Active,0504 | 2857 | 2858 | 3181,30/03/2012,"51,780,000.00","Alas, Barique, Bazartete, Dili, Dom Aleixo, East Timor, Ermera Villa, Gleno, Laclubar, Manatuto, Manatuto, Natarbora, Railaco, Soibada, Tibar, Vera Cruz",Transport,Road transport (non-urban),B,C,B,Sectors Group,Council for Administration of the Infrastructure Fund,"Kailasam, Ganesh"
45148-004,Greater Colombo Water and Wastewater Management Improvement Investment Program (Facility Concept),Sri Lanka,Sovereign,Loan,Active,0072,25/10/2012,"300,000,000.00",,Water and other urban infrastructure and services,Water Supply and Sanitation,,,,South Asia Department,,"Dahanayake, Kamal P.S."
45148-007,Greater Colombo Water and Wastewater Management Improvement Investment Program - Tranche 2,Sri Lanka,Sovereign,Loan,Active,3029 | 3030 | 8282,26/09/2013,"88,000,000.00","Ambatale, Borella, Cinnamon Gardens, Colombo Division, Dematagoda, Fort, Gotatuwa, Grandpass, Havelock Town, Kirulapone, Kollupitiya, Kolonnawa, Kotahena, Maligakande Reservoir, Maligawatta, Maradana, Mattakkuliya, Modara, Narahenpita, Slave Island, Timbirigasyaya, Union Place, Vishaka Vidyalaya, Wellawatta, Yakbedda",Water and other urban infrastructure and services,"Urban policy, institutional and capacity development | Urban water supply",B,C,B,Sectors Group,Ministry of Water Supply (formerly Ministry of City Planning and Water Supply),"Dahanayake, Kamal P.S."
45148-008,Greater Colombo Water and Wastewater Management Improvement Investment Program (Tranche 3),Sri Lanka,Sovereign,Loan,Active,3348 | 3349,08/12/2015,"128,000,000.00",Colombo,Water and other urban infrastructure and services,Urban sanitation | Urban sewerage | Urban water supply,B,C,B,Sectors Group,Ministry of Water Supply (formerly Ministry of City Planning and Water Supply),"Dahanayake, Kamal P.S."
45203-006,Natural Gas Infrastructure and Efficiency Improvement Project,Bangladesh,Sovereign,Loan,Active,3461 | 3462 | 8318,15/08/2016,"167,000,000.00",Nation-wide,Energy,Oil and gas transmission and distribution,B,C,A,Sectors Group,Bangladesh Gas Fields Company Ltd.,"Horiguchi, Kazuhiro"
45207-002,Irrigation Management Improvement Project,Bangladesh,Sovereign,Loan,Active,3135 | 4120,30/06/2014,"59,500,000.00",,"Agriculture, natural resources and rural development",Agricultural drainage | Agricultural production | Irrigation | Rural flood protection,B,C,C,Sectors Group,Bangladesh Water Development Board,"Rana, Md. Sohel"
45233-001,Social Protection Development Project,Pakistan,Sovereign,Loan,Active,3049 | 3837,22/10/2013,"630,000,000.00","Nation-wide, Badin District, Faisalabad, Gilgit District, Muzaffarabad, Nowshera, Quetta",Education | Health | Public sector management,Technical and vocational education and training | Health insurance and subsidized health programs | Social protection initiatives,C,C,C,Sectors Group,Benazir Income Support Program,"Zia, Omer Bin"
