ADB Sovereign Projects 2005 onwards as of 9 January 2025,,,,,,,,,,,,,,,,,
Note: Projects with Active status are approved projects that have met the conditions for effectiveness for at least one of its sources of financing and is ready for or already undergoing implementation. Information about proposed projects is tentative and indicative.,,,,,,,,,,,,,,,,,
See http://www.adb.org/projects/terms-use for more on using ADB project data.,,,,,,,,,,,,,,,,,
Project Number,Project Name,Country,Financing,Project Type or Modality,Status,Approval Number,Approval Date,ADB Financing (US$),Geographical Location,Sector,Subsector,Safeguard - Environment,Safeguard - Indigenous People,Safeguard - Resettlement,Department,Executing Agency,Project Officer
42177-013,Urban Primary Health Care Services Delivery Project,Bangladesh,Sovereign,Grant | Loan | Technical Assistance,Active,0298 | 0607 | 2878 | 3705 | 8118,18/07/2012,"160,400,000.00","Nation-wide, Barisal, Comilla, Dhaka, Gazipura, Gopalganj, Khulna, Kishorganj, Kushtia, Narayanganj, Rajshahi, Rangpur, Sirajganj, Sylhet",Health,Health sector development and reform | Health system development,B,C,C,Sectors Group,"Local Govt Div,Min of Local Govt Rural Devt & Coop","Ahad, Faiza"
42180-016,Third Public-Private Infrastructure Development Facility,Bangladesh,Sovereign,Loan | Technical Assistance,Active,0100 | 9344,18/07/2017,"526,750,000.00",Bangladesh,Finance,Infrastructure finance and investment funds,,,,Sectors Group,,"Al Hasan, Mohammad Rashed"
42180-019,Third Public-Private Infrastructure Development Facility-Tranche 2,Bangladesh,Sovereign,Loan,Active,4254 | 4255,23/11/2022,"278,290,000.00",Nation-wide,Finance,Infrastructure finance and investment funds,FI,FI,FI,Sectors Group,Ministry of Finance,"Al Hasan, Mohammad Rashed"
42203-022,Northern Rural Infrastructure Development Sector Project,Lao People's Democratic Republic,Sovereign,Grant,Active,0235 | 0534,26/11/2010,"58,600,000.00","Khoueng Bokeo, Khoueng Oudomxai, Khoueng Phongsali, Louangnamtha","Agriculture, natural resources and rural development | Transport",Irrigation | Land-based natural resources management | Rural market infrastructure | Water-based natural resources management | Road transport (non-urban),B,B,B,Sectors Group,Ministry of Agriculture and Forestry-Irrigation Dep,"Chanthy, Khamtanh"
42229-016,Secondary Towns Urban Development Project,Bhutan,Sovereign,Loan,Active,3674,18/06/2018,"10,000,000.00","Samdrup Jongkhar, Sarpang, Trashigang Dzongkhag",Water and other urban infrastructure and services,"Other urban services | Urban flood protection | Urban policy, institutional and capacity development | Urban sewerage | Urban water supply",B,C,B,Sectors Group,Department of Infrastructure Development,"Zam, Sonam"
42265-025,Assam Urban Infrastructure Investment Program - Tranche 2,India,Sovereign,Loan,Active,3624,13/12/2017,"26,040,000.00","Dibrugarh, Guwahati",Water and other urban infrastructure and services,"Urban flood protection | Urban policy, institutional and capacity development",B,C,B,South Asia Department,"Guwahati Development Department, Gov't of Assam","Joshi, Sanjay Divakar"
42266-013,Kolkata Environmental Improvement Investment Program (Facility Concept),India,Sovereign,Loan | Technical Assistance,Active,0075,26/09/2013,"400,000,000.00",,Water and other urban infrastructure and services,Water Supply and Sanitation,,,,South Asia Department,,"Majumder, Sourav"
42267-031,Rajasthan Secondary Towns Development Sector Project,India,Sovereign,Loan,Active,3972 | 4325,25/09/2020,"500,000,000.00",Rajasthan,Water and other urban infrastructure and services,"Urban policy, institutional and capacity development | Urban sanitation | Urban water supply",B,B,B,Sectors Group,Local Self Government Department (LSGD),"Kumar, Bhavesh"
42267-032,Promoting Smart and Integrated Urban Planning for Livability and Cultural Economy in Rajasthan,India,Sovereign,Technical Assistance,Active,6779,21/09/2021,0,"Jodhpur, Jodhpur, Nawalgarh, Nawalgarh",Water and other urban infrastructure and services,"Urban policy, institutional and capacity development",,,,Sectors Group,Local Self Government Department (LSGD),"Kumar, Bhavesh"
42285-013,Integrated Urban Environmental Management in the Tonle Sap Basin Project,Cambodia,Sovereign,Grant | Loan,Active,0454 | 3311 | 8295,10/11/2015,"37,000,000.00","Kampong Chhnang, Pursat",Water and other urban infrastructure and services,"Urban flood protection | Urban policy, institutional and capacity development | Urban sanitation | Urban solid waste management",B,B,B,Sectors Group,Ministry of Public Works and Transport,"Ya, Samol"
42291-024,Higher Education in the Pacific Investment Program (MFF),Regional,Sovereign,Loan,Active,0068,11/06/2012,"19,000,000.00",Regional,Education,,,,,Pacific Department,,"Indrawansa, P.P.G.P.P."
42291-026,Higher Education in the Pacific Investment Program - Tranche 2,Regional,Sovereign,Grant | Loan,Active,0505 | 3445,21/10/2016,"15,400,000.00",Regional,Education,Tertiary,B,C,B,Sectors Group,The University of the South Pacific,"Indrawansa, P.P.G.P.P."
42334-018,Rural Roads Improvement Project III,Cambodia,Sovereign,Grant | Loan,Active,0581 | 3678,29/06/2018,"60,000,000.00",Phnom Penh,Transport,Road transport (non-urban),B,C,C,Sectors Group,Ministry of Rural Development,"Long, Piseth Vou"
42392-013,Interisland Shipping Support Project,Vanuatu,Sovereign,Grant | Loan | Technical Assistance,Active,0273 | 0427 | 2820 | 3249 | 7938,30/11/2011,"29,950,000.00","Lenakel, Litzlitz, Luganville, Port Sandwich, Port Vila",Transport,Transport policies and institutional development | Water transport (non-urban),B,C,C,Sectors Group,Ministry of Finance & Economic Management,"Lu, Yang"
42439-013,Koror-Airai Sanitation Project,Palau,Sovereign,Loan,Active,3060 | 3061,19/11/2013,"28,800,000.00","Kesebalau, Malakal Island, State of Airai, State of Koror, State of Melekeok",Water and other urban infrastructure and services,Urban sewerage,B,C,C,Sectors Group,Ministry of Finance,"Blaik, Stephen"
42466-014,Skills for Employment Investment Program,Bangladesh,Sovereign,Grant | Loan,Active,0081,19/05/2014,"350,000,000.00",,Education,,,,,Sectors Group,,"Lee, Sunhwa"
42466-017,Skills for Employment Investment Program - Tranche 3,Bangladesh,Sovereign,Loan,Active,3839,10/10/2019,"150,000,000.00",Nation-wide,Education,Technical and vocational education and training,B,B,C,Sectors Group,"Finance Division, MOF (EA)","Shrestha, Unika"
42466-018,Supporting Technical Education and Skills Development Facility,Bangladesh,Sovereign,Technical Assistance,Active,9966,27/04/2020,"2,750,000.00","Nation-wide, Bangladesh",Education,Technical and vocational education and training,,,,Sectors Group,"Finance Division, Ministry of Finance","Lee, Sunhwa"
42486-016,Madhya Pradesh Urban Services Improvement Project,India,Sovereign,Loan | Technical Assistance,Active,3528 | 3974 | 9318,18/05/2017,"546,000,000.00",Madhya Pradesh,Water and other urban infrastructure and services,"Urban policy, institutional and capacity development | Urban sanitation | Urban water supply",B,B,B,Sectors Group,Urban Development and Housing Department,"Vishal, Vivek"
42513-014,Karnataka State Highways Improvement III Project,India,Sovereign,Loan,Active,3619,08/12/2017,"346,000,000.00",Karnataka,Transport,Road transport (non-urban) | Transport policies and institutional development,B,C,A,Sectors Group,Government of Karnataka,"Bajaj, Arun"
43120-026,Trade Facilitation: Improved Sanitary and Phytosanitary Handling in Greater Mekong Subregion Trade Project â€“ Additional Financing,Lao People's Democratic Republic,Sovereign,Grant,Active,0546,03/10/2017,"10,000,000.00",Nation-wide,Industry and trade,Industry and trade sector development,C,C,C,Southeast Asia Department,Ministry of Agriculture and Forestry (MAF),"Xayyavong, Phoxay"
43197-013,Port Moresby Power Grid Development Project,Papua New Guinea,Sovereign,Loan,Active,2998 | 2999,26/04/2013,"66,700,000.00","Hiri, Kila Kila Number 1, Laloki River, Port Moresby, Sirinumu Dam",Energy,Electricity transmission and distribution,B,C,B,Sectors Group,Independent Public Business Corporation(IPBC),"Baum, Peter C."
